Job Name,Salary Description,Skills,City Name,Job Degree
物联网工程师,10-15K,"['C', 'C++', 'MySQL', 'Linux开发/部署经验', '物联网', '二次开发']",襄阳,本科
物联网开发工程师,8-13K,"['C++', 'Java', 'Dubbo', 'SpringCloud', 'Spring', 'Hadoop', '不接受居家办公', '物联网经验']",深圳,本科
嵌入式软件工程师（IOT物联网）,25-45K・14薪,"['嵌入式/单片机开发经验', 'WiFi', 'IOT']",杭州,本科
物联网测试/技术支持,10-15K・13薪,"['功能测试', '项目实施']",杭州,本科
java物联网工程师（没物联网经验不要投）,7-10K・13薪,"['Java', 'SpringCloud', 'Spring', 'MyBatis', 'MySQL', 'Redis', 'PostgreSQL', '不接受居家办公', '物联网经验']",武汉,本科
iot测试工程师,15-22K,"['移动端测试', 'iot']",深圳,大专
物联网开发工程师,8-12K・13薪,"['C++服务端开发经验', 'C++', 'Socket技术', '后端开发', 'SQL']",宁波,大专
物联网技术支持工程师-TSE(iot),5-10K,"['售前/售后技术支持', '计算机/通信相关专业', '售前支持/技术咨询经验', '售后支持/客户响应经验', '有电子工程技术背景优先考虑']",上海,大专
IOT物联网工程师,10-11K,"['不限', '五天制']",深圳,本科
物联网工程师(J10226),10-15K・14薪,"['数据采集', '通信协议', '物联网']",佛山,本科
物联网开发,5-8K,"['多线程', '网络协议', 'MVC开发', 'Socket技术', '网络编程', 'Netty', 'Linux', '后端开发']",太原,大专
物联网工程师,6-10K,['MySQL'],泉州,大专
IOT SCADA开发工程师,5-10K,"['C#', 'IOT', 'SCADA', 'PLC']",苏州,大专
IOT基础架构师（物联网云原生）,40-60K・15薪,['IOT  云平台'],青岛,本科
IOT物联网研发经理,15-20K,"['物联网', '售前技术支持', 'IOT系统']",北京,本科
物联网JAVA开发工程师,11-15K,"['有前端经验/技能', 'Java', 'C', 'C++', '不接受居家办公', '其他', 'MySQL', '物联网经验', 'ModBus', 'Framework']",广州,本科
IoT设备开发工程师,15-30K・13薪,"['C++', 'Linux开发/部署经验', 'RTOS', '协议开发', 'rust开发']",南京,本科
IOT（物联网）软件工程师（上海）,12-18K,"['计算机相关专业', '电气电气/自动化相关专业', '嵌入式/单片机开发经验', '嵌入式技术']",上海,本科
测试工程师（物联网方向）,8-10K,"['测试工作经验', '性能测试', '压力测试', '硬件测试', '功能测试']",福州,本科
IOT平台工程师,10-14K,"['数据采集', 'IOT']",珠海,本科
物联网软件开发工程师,5-10K,['Java'],兰州,本科
Java开发工程师（物联网）,12-20K,"['Java', 'SpringCloud', 'MyBatis', 'MySQL', '物联网']",广州,本科
IOT数据采集工程师,11-20K,"['C', '通信相关专业', '嵌入式/单片机开发经验', '电气电气/自动化相关专业']",烟台,本科
iot产品经理,7-12K,"['C端产品', '物联网']",深圳,本科
物联网工程师,12-15K・13薪,"['.NET', 'C#', 'Python']",长沙,本科
物联网工程师,13-16K,"['Linux', '后端开发', '软件工程师', '网络协议', '数据结构']",南京,大专
产品经理（工业物联网/IOT）,15-30K,"['物联网产品', '大数据', '工业物联网']",深圳,本科
物联网开发工程师,12-20K,['Java'],深圳,本科
iot测试,12-22K,"['自动化测试', 'Python', 'Java', 'Postman']",深圳,本科
IOT测试开发,8-13K・15薪,"['Python', 'Linux', 'Java', '自动化测试']",苏州,本科
中级软件开发工程师(物联网云平台方向),6-10K,"['Java', '网络协议', 'Socket技术', '多线程', '网络编程', 'Netty', '消息队列']",贵阳,大专
物联网工程师,10-11K,"['PHP', 'C语言', 'PHP开发经验']",泉州,大专
物联网工程师,7-10K,"['C++', 'Python', 'C', 'Spring', 'MyBatis', 'Oracle', 'MongoDB', 'MySQL', '不接受居家办公', '物联网经验']",济南,本科
测试开发工程师（物联网）,13-25K,"['国内院校优先', '留学生优先', '不限', '功能测试', '压力测试', '性能测试', 'Java', 'Python', 'C++', '计算机相关专业', '测试工作经验', '软件开发经验']",深圳,本科
物联网工程师 JAVA,11-15K,"['Java开发经验', 'Java', '物联网', '后端工程师']",广州,本科
IOT物联网平台开发系统工程师,12-18K,"['Java', 'Python', 'Spring', 'Nginx', 'MyBatis', 'MySQL', 'Redis', '不接受居家办公', '架构设计经验', '物联网经验', '微服务经验']",苏州,本科
IOT架构师,30-40K・15薪,"['Golang', 'C++', 'MySQL', 'Golang服务端开发经验', '系统架构设计经验', '物联网', '智慧城市']",武汉,本科
I. 物联网JAVA工程师,9-10K,"['Java', 'Redis']",温州,本科
IOT智能家居项目经理,9-12K,"['系统调试', '技术沟通', '硬件集成调试']",东莞,大专
软件测试（物联网）,14-21K,"['性能测试', '自动化测试', 'Selenium', 'MySQL', 'JMeter', '测试工作经验', '自动化测试经验', '物联网', '全链路测试', '并发量']",深圳,本科
IT工程师（IOT）,18-20K,"['C#', 'C#开发经验']",武汉,本科
物联网开发工程师,8-10K,"['C#', 'Java', '计算机相关专业', 'C#开发经验', '.NET开发经验']",聊城,本科
IOT 安全工程师,14-28K,['安全体系架构和研发'],杭州,本科
IOT物联网工程师,10-11K,"['商业产品', '用户产品', '物联网、电子、硬件']",深圳,本科
物联网开发工程师,5-10K,"['Java', 'C/C++', 'MySQL', '计算机/软件工程相关经验', 'Java开发经验', '大数据处理经验']",乌鲁木齐,本科
物联网前端开发工程师,6-9K,"['移动端', '小程序', '前端开发']",广州,本科
IOT渗透测试,8-13K,"['C++', '漏洞挖掘', '汇编语言', '攻防对抗经验', '计算机相关专业', 'Python']",苏州,本科
iot/物联网/嵌入式 工程师,10-15K,['嵌入式技术'],北京,大专
物联网工程师,6-10K・13薪,"['流媒体技术', '网络协议', '服务器配置']",厦门,大专
软件测试总监（IOT）,60-90K,"['IOT', '软件测试']",深圳,本科
物联网IOT开发工程师,20-25K・13薪,['C++'],北京,本科
物联网网络和网页软件工程师,6-7K,"['HTML5', 'JavaScript', 'CSS', '计算机/软件工程相关专业', '前端开发经验', '不接受居家办公']",深圳,本科
工业物联网工程师,8-13K,"['后端工程师', 'Java', 'C/C++', '计算机/软件工程相关经验', 'Java开发经验']",合肥,本科
iot物联网产品经理,30-50K・18薪,"['B端产品', '物联网', 'iot']",深圳,本科
国际物联网平台开发,15-30K,"['Java', '不接受居家办公', '物联网经验']",上海,本科
物联网开发工程师,12-18K・13薪,"['网络协议', 'Socket技术', 'Android', 'Framework', '后端开发', '数据结构', '服务器配置']",武汉,大专
物联网开发工程师,10-15K・14薪,"['Netty', 'SpringBoot']",苏州,本科
物联网工程师,8-13K,"['Java', 'Spring', 'SpringCloud', 'Netty', 'MySQL', '不接受居家办公', '物联网经验', '大数据经验']",无锡,本科
物联网开发工程师JAVA,12-17K,"['Java', 'Java开发经验', '分布式系统开发经验', '大数据处理经验', '物联网']",日照,本科
C#高级开发工程师（IOT方向）,15-30K,"['C#', 'C#开发经验', 'IOT', '物联网', '微软Azure云服务']",杭州,大专
IoT物联网软件工程师,11-20K・16薪,"['软件工程师', '物联网', '设备自动化']",深圳,本科
嵌入式软件开发-IoT物联网,15-25K・15薪,"['C', 'ARM开发', '嵌入式/单片机开发经验']",杭州,本科
物联网平台开发工程师,10-15K,"['SQL', '分布式技术', 'MySQL', '流媒体技术', '文件管理系统', '高级软件工程师', '全栈开发', 'Linux']",重庆,本科
IOT应用工程师,9-14K,"['通信协议/软件开发', 'C语言', 'C++', 'Oracle', '嵌入式开发', '上位机']",合肥,大专
物联网/全栈开发工程师,12-15K,"['Python', '全栈开发', '后端开发', 'Vue', 'C++']",北京,本科
物联网开发工程师,11-17K,"['后端工程师', '架构师', 'Java', 'Spring', 'MyBatis', 'Java开发经验', '分布式系统开发经验', '计算机/软件工程相关经验', '无留学背景偏好']",南阳,本科
plc工程师（iot开发）,13-17K,"['C#', 'PLC工程师', '工业通讯协议', '物联网协议', '上位机开发']",济南,大专
测试工程师（iot方向）,12-20K・13薪,"['功能测试', '性能测试', '自动化测试', 'LoadRunner', 'JMeter', 'Jira', '掌握软件测试理论和流程', '测试工作经验', 'iOS/Android测试经验']",深圳,本科
JAVA开发工程师（物联网）,7-12K,"['后端工程师', 'Java', 'Redis', 'JavaScript', 'Java开发经验', '计算机/软件工程相关经验']",东莞,本科
IOT开发工程师,6-10K,"['C++', '嵌入式/单片机开发经验']",深圳,本科
IOT前端工程师,13-23K・13薪,['JavaScript'],深圳,本科
美团配送java专家(iot方向),35-45K・15薪,"['后端工程师', '架构师', 'Java', '分布式系统开发经验', 'iot']",深圳,本科
iot开发工程师,20-30K,"['Java', 'iot']",苏州,本科
物联网工程师,4-6K,"['人工智能', '计算机软件']",台州,本科
IoT研发工程师,30-60K・16薪,"['C#', 'Java', 'C++', 'Elasticsearch', 'Zookeeper', 'MySQL', 'Kafka', 'Redis']",上海,本科
测试工程师_IoT穿戴（外派OPPO）,8-10K,"['手表，手环', '心率']",深圳,大专
JAVA开发工程师（物联网方向）,6-10K・14薪,['JQuery'],南京,本科
嵌入式开发工程师（IOT物联网）,20-40K・13薪,"['C', 'RTOS', 'STM32开发', '计算机相关专业', '嵌入式/单片机开发经验', 'MQTT', '物联网', '视频对讲']",深圳,本科
物联网协议开发工程师,8-12K,"['Java', 'Spring', 'SpringCloud', 'MySQL', 'Redis', '物联网经验']",邯郸,本科
Java开发工程师（物联网方向）,12-16K,"['Java', 'Spring', 'MySQL', 'MongoDB', 'Redis', '不接受居家办公', 'Spring Boot', 'Flask', 'Spring MVC']",广州,本科
iot开发工程师,10-15K・14薪,"['C++', 'C', 'Java', 'Linux开发/部署经验', '音视频经验']",深圳,本科
物联网软件开发工程师（建筑能耗监控系统）,7-11K,"['架构师', 'Java', 'MySQL', '计算机/软件工程相关经验', 'Java开发经验', '能耗监测系统']",乌鲁木齐,大专
iot测试工程师,10-15K,"['功能测试', '自动化测试', '自动化测试经验', '嵌入式测试']",苏州,本科
高级Java开发工程师（IOT）(J13047),20-35K・15薪,"['Java', 'Spring', 'SpringCloud', 'MySQL', '不接受居家办公', '分布式经验', '物联网经验', '微服务经验']",深圳,本科
物联网开发工程师,7-10K,"['Java', 'Python', 'MySQL', '分布式系统开发经验', '中大型项目架构设计经验', '大数据处理经验', '可兼职']",太原,本科
物联网系统平台JAVA开发工程师,8-13K,"['Java', 'Spring', 'Netty', 'Hibernate', 'MySQL', 'Redis', '不接受居家办公', '云计算经验', '物联网经验', '架构设计经验']",佛山,本科
物联网开发工程师（Netty方向）,15-25K,"['Java', 'Netty', 'MySQL', 'TCP', 'Socket']",苏州,大专
物联网开发工程师,10-13K,"['Java', 'C', 'Python', 'Spring', 'SpringCloud', 'Kafka', 'MySQL', 'Redis', 'MongoDB', '架构设计经验', '微服务经验', '物联网经验']",兰州,本科
IOT邀约专员,4-8K・13薪,"['个人（To C）', '客户邀约', '售后服务', '沟通能力强', '销售经验', '互联网/科技', 'O2O', '其他产品/服务', '软件/企业服务产品']",昆明,大专
IOT数据采集工程师,10-15K・13薪,"['Python', 'Java']",宁波,本科
iot开发工程师,20-40K・16薪,"['Jenkins', 'Linux', '分布式技术', 'Netty', '后端工程师', '容器技术', 'Spring', '网络编程', 'iot']",嘉兴,本科
物联网协议开发工程师,8-13K,['物联网中台'],杭州,本科
物联网工程师,8-13K,"['微服务架构', '中级软件工程师', '后端开发']",西安,大专
iot物联网专家,20-40K・14薪,"['Java', 'SpringCloud', 'Hadoop']",青岛,本科
JAVA开发工程师（工业物联网方向）,10-15K,"['微服务架构', '容器技术', 'Socket技术', '网络协议', '网络编程', '多线程', 'Linux', 'Spring']",呼和浩特,本科
IOT  Sales Manager/工业物联网销售经理,15-30K,"['企业（To B）', '对企业/机构（To B）销售经验', '其他行业', '其他产品/服务']",上海,本科
Java高级工程师（物联网IoT）,15-25K,"['java', '物联网', 'IoT', '平台', '大数据', '电力', '全栈', '智能监控']",上海,本科
JAVA开发工程师（物联网方向）,15-25K・14薪,['Java'],苏州,本科
物联网开发工程师,18-35K・14薪,"['Java', '中大型项目架构设计经验', 'BI', '架构师', 'SpringMVC', 'Spring', '后端工程师', '网络协议', '计算机/软件工程相关经验', 'Java开发经验', '负载均衡技术', '多线程', '物联网']",苏州,本科
Java后端开发（物联网方向）,18-28K・13薪,"['Java', 'Spring', 'Python']",深圳,本科
Java开发工程师（IoT平台）,20-30K・14薪,"['Java', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'Redis', 'PostgreSQL', '不接受居家办公', '分布式经验', '大数据经验']",上海,本科
物联网IOT架构师（深圳）,16-25K・13薪,"['C#', '容器技术', '分布式技术', '网络协议', '多线程', '消息队列', '网络编程', 'ASP.NET']",深圳,本科
c++开发工程师（物联网方向）,12-16K,"['C++', 'C语言', 'Linux开发/部署经验', '物联网上位机开发', '单片机开发', '客户端开发']",天津,本科
java开发工程师（物联网）,10-15K,"['Java', '物流仓储项目', '物联网', '烟草行业']",长沙,本科
物联网平台开发工程师,8-13K,"['Java', 'C', 'C++', 'Spring', 'Kafka', 'Tomcat', 'MySQL', 'Redis', 'Oracle', '不接受居家办公', 'MES开发经验', 'ERP开发经验', '团队管理经验']",钦州,大专
高级工程师(IoT业务),11-20K,"['物联网', '网络通信', '分布式技术', 'Java', 'Go']",泉州,本科
中高级java工程师（电力物联网）,20-30K・13薪,"['Java', 'Spring', 'MyBatis', 'Oracle', 'MySQL', '架构设计经验', '电力物联网']",青岛,本科
初级 物联网软件开发,10-15K,['Golang'],北京,本科
物联网开发工程师,10-15K,"['分布式技术', '网络协议', 'Socket技术', '消息队列', '微服务架构']",北京,本科
物联网软件开发（智能制造方向）,20-40K,"['Java', 'Python', 'C#', '不接受居家办公', '团队管理经验', '物联网经验', '大数据经验']",南通,大专
物联网开发工程师,12-15K,"['Java', 'SQL', 'Shell', '分布式技术', '多线程', '服务器配置', '网络协议', '消息队列']",重庆,本科
物联网开发,13-18K・13薪,"['音视频经验', 'C++', 'C', 'Boost', '嵌入式软件经验', 'Linux开发/部署经验']",深圳,本科
物联网工程师,12-15K,"['Java', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'Redis', 'MongoDB', '物联网经验']",杭州,本科
IOT测试工程师,12-18K・13薪,"['整机测试', '可靠性测试', '功能性测试', '功耗测试']",北京,本科
物联网开发工程师（Java 方向）,12-24K,"['Java', '物联网']",武汉,本科
物联网开发工程师,7-12K,"['Java', 'C/C++', 'Java开发经验', '中大型项目架构设计经验', '大数据处理经验']",昆明,大专
智能物联网开发,5-10K・13薪,"['不接受居家办公', 'Java', 'C', 'C++', 'Spring', 'SpringCloud', 'MyBatis', 'MySQL', 'Redis', '云计算经验', '物联网经验', '大数据经验']",北京,本科
产品工程师（IOT）,12-20K・13薪,"['智能硬件产品', '物联网产品', '英语优秀']",武汉,本科
物联网开发工程师,11-20K・14薪,"['物联网', '网络协议', 'Socket技术', 'SpringBoot', 'SpringMVC', 'MySQL', '流媒体技术', '后端开发']",杭州,大专
物联网开发工程师,10-15K・13薪,"['网络协议', '微服务架构', '物联网']",南京,大专
物联网JAVA开发工程师,8-13K,"['分布式技术', '消息队列', '架构师', '物联网', '智慧园区', '智慧城市', '智慧楼宇', 'IOT']",深圳,大专
中高级物联网JAVA工程师,12-16K,"['不接受居家办公', 'Java', 'MyBatis', 'Kafka', '其他', 'MySQL', 'MongoDB', '团队管理经验', '架构设计经验', '物联网经验']",深圳,本科
IOT测试主管,16-23K,"['嵌入式测试', 'IOT测试']",杭州,本科
开发组长-（JAVA物联网方向）-郑州,12-24K,"['Java', 'MySQL', '不接受居家办公', 'MySQL', 'Java', 'Spring', '物联网经验', '物联', '商城']",郑州,本科
IOT项目经理,12-18K・14薪,"['实施交付经验', '中大型软件项目管理经验', 'PMP', 'PMI-ACP']",厦门,本科
物联网java开发工程师,13-17K,"['Java开发经验', 'Java', 'Redis', '物联网', '后端工程师', 'Spring', 'IOT']",西安,本科
IoT物联网架构师,40-60K,"['Java', '分布式技术', '网络协议', 'Spring', 'Netty', '平台架构']",深圳,本科
Java工程师（IOT方向）,15-23K,"['Java', 'Golang', 'SpringCloud', 'Kafka', '其他', 'MySQL', 'Redis', '物联网经验', 'PLC', 'Modbus', 'MQTT']",深圳,学历不限
物联网智能硬件工程师,9-14K,"['Python', '嵌入式技术', 'OpenCV', '人工智能', '客户端开发', '架构师', '高级软件工程师', '智能硬件']",上海,本科
java 物联网工程师,8-13K,"['分布式技术', '软件工程师', '后端开发', 'SpringBoot', 'MySQL', 'SQL Server', 'IDEA', '微服务架构']",长沙,大专
java物联网平台开发,8-13K・15薪,"['Java', 'MySQL', '网络协议', '计算机软件', '物联网']",南京,本科
物联网后台研发工程师,20-21K,"['Java', 'JVM', 'MySQL', '物联网']",武汉,本科
